component,scenario,scenario_group,year,value,unit,source
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2027,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2028,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2029,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2030,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2031,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2032,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2033,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2034,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2035,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2036,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2037,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2038,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2039,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2040,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2041,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2042,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2043,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2044,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2045,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
Renewable propane,Renewable propane baseline,Selected energy/feedstock,2046,1200,€/t,Author assumption for purchased renewable propane; constant baseline used in Revision 2
